alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization
1.6366337537765503,-0.0027975477278232574,-1.4685425758361816,179.7866668701172,375.75079345703125,123.016357421875,0.5365540981292725,27.4537353515625,24.703065872192383,36.93168258666992,24.705900192260742,4.1895623207092285,0.04348554275929928,13,se3_log_map
1.6475070714950562,-0.004824686795473099,-1.4672904014587402,188.18179321289062,374.6479187011719,125.325927734375,0.4494786560535431,26.191009521484375,25.819486618041992,36.777915954589844,25.82097625732422,4.453985214233398,0.04123577382415533,13,se3_log_map
1.6480858325958252,-0.0051964158192276955,-1.460228443145752,193.19178771972656,373.56170654296875,126.66221618652344,0.37903958559036255,28.55617332458496,28.142366409301758,40.09299087524414,28.143484115600586,4.732544898986816,0.041284237056970596,13,se3_log_map
1.647448182106018,-0.00446115480735898,-1.4559348821640015,195.0713348388672,372.54437255859375,128.2181396484375,0.3532019853591919,30.45233154296875,29.215776443481445,42.200782775878906,29.216751098632812,4.948273181915283,0.04124465677887201,13,se3_log_map
1.646121859550476,-0.003337777452543378,-1.4537184238433838,195.43417358398438,371.4720764160156,129.99850463867188,0.34965696930885315,31.72037124633789,29.568172454833984,43.3642578125,29.56903648376465,5.143786907196045,0.039759183302521706,13,se3_log_map
1.6427513360977173,-0.002636018441990018,-1.4511170387268066,195.12152099609375,370.9143371582031,130.59915161132812,0.36272773146629333,33.119407653808594,29.627864837646484,44.437660217285156,29.628925323486328,5.242597579956055,0.03988386690616608,13,se3_log_map
1.6383817195892334,-0.002413572743535042,-1.4488685131072998,194.37249755859375,370.5749816894531,130.71473693847656,0.3856866955757141,34.39561080932617,29.452472686767578,45.28251266479492,29.45386505126953,5.294764995574951,0.044659676030278206,13,se3_log_map
1.6335089206695557,-0.0021470501087605953,-1.4468854665756226,192.97427368164062,370.3567199707031,130.52960205078125,0.4186493754386902,35.767845153808594,28.972213745117188,46.02964401245117,28.97417449951172,5.31878137588501,0.040612299926579,13,se3_log_map
1.6277717351913452,-0.0022433120757341385,-1.4450680017471313,191.26927185058594,370.3435974121094,129.3854522705078,0.48676598072052,37.242122650146484,28.583534240722656,46.94671630859375,28.586339950561523,5.314502716064453,0.04069852363318205,13,se3_log_map
1.621390700340271,-0.002032132353633642,-1.4446120262145996,188.18121337890625,370.6680908203125,127.49485778808594,0.5691925287246704,38.589813232421875,27.878273010253906,47.60642623901367,27.882434844970703,5.245177745819092,0.04049697611480951,13,se3_log_map
1.6154028177261353,-0.0017553281504660845,-1.4453349113464355,184.41380310058594,371.3018798828125,124.77897644042969,0.5177510380744934,39.658504486083984,27.6723575592041,48.35862350463867,27.67812156677246,5.13368558883667,0.041124685667455196,13,se3_log_map
1.6110988855361938,-0.0021951517555862665,-1.4451053142547607,183.50978088378906,372.0763854980469,121.46446228027344,0.46914252638816833,40.6448860168457,28.85536766052246,49.846153259277344,28.862483978271484,5.059382438659668,0.041021534241735935,13,se3_log_map
1.607841968536377,-0.003084635129198432,-1.4419339895248413,186.09852600097656,372.4426574707031,119.22465515136719,0.48803237080574036,42.36761474609375,30.58103370666504,52.2514533996582,30.58934211730957,5.101711750030518,0.04130616318434477,13,se3_log_map
1.6051710844039917,-0.003968905191868544,-1.4384207725524902,188.9694061279297,372.8248291015625,117.02259063720703,0.489093154668808,44.115196228027344,32.63058853149414,54.87171936035156,32.6402587890625,5.151301860809326,0.04166510794311762,13,se3_log_map
1.6040576696395874,-0.0037417206913232803,-1.4356149435043335,191.00863647460938,373.034912109375,115.89016723632812,0.47624728083610535,45.48999786376953,33.97910690307617,56.77956771850586,33.98979187011719,5.197395324707031,0.041758242063224316,13,se3_log_map
1.6041063070297241,-0.0031176558695733547,-1.4333856105804443,192.79595947265625,373.09600830078125,115.45124053955078,0.4741809070110321,46.45197296142578,34.930667877197266,58.120025634765625,34.94197463989258,5.245451927185059,0.041999938897788525,13,se3_log_map
1.6050729751586914,-0.0018349300371482968,-1.4315643310546875,193.68507385253906,372.906494140625,116.16203308105469,0.48033058643341064,47.19660949707031,34.9237060546875,58.71273422241211,34.935054779052734,5.291683673858643,0.04219241812825203,13,se3_log_map
1.6062750816345215,5.438924563350156e-05,-1.4306857585906982,193.3438720703125,372.59698486328125,117.52027130126953,0.4993058443069458,47.693870544433594,34.06306076049805,58.60885238647461,34.07393264770508,5.322875022888184,0.04224930703639984,13,se3_log_map
1.6081795692443848,0.002541574649512768,-1.4309513568878174,192.06912231445312,372.2083435058594,119.26150512695312,0.5393058657646179,47.775115966796875,32.66307830810547,57.873470306396484,32.67308807373047,5.34357213973999,0.042428504675626755,13,se3_log_map
1.610741138458252,0.005506514105945826,-1.4321719408035278,189.89187622070312,371.6739501953125,121.62419891357422,0.5703464150428772,47.537845611572266,30.751554489135742,56.61717987060547,30.760404586791992,5.365340232849121,0.04262419883161783,13,se3_log_map
1.6137386560440063,0.008386622183024883,-1.4346495866775513,187.97921752929688,371.2225646972656,123.88572692871094,0.566466748714447,46.81228256225586,29.153118133544922,55.14793014526367,29.160852432250977,5.38542366027832,0.04253757931292057,13,se3_log_map
1.6171396970748901,0.010882562957704067,-1.4380278587341309,186.92340087890625,370.9600830078125,125.732666015625,0.5547698736190796,45.68257522583008,28.073938369750977,53.61943435668945,28.080663681030273,5.3966474533081055,0.04277253709733486,13,se3_log_map
